HMDB	SMILES
HMDB0005356	[H]C(COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC
HMDB0010411	[H]C(COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC
HMDB0000094	OC(=O)CC(O)(CC(O)=O)C(O)=O
HMDB0000698	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCC(O)=O
HMDB0000932	[H][C@@]12C[C@H](O)CC[C@]1(C)C1CC[C@]3(C)[C@H](CCC3C1[C@@H](O)[C@H]2O)[C@H](C)CCC(=O)NCCS(O)(=O)=O
HMDB0001046	CN1C(CCC1=O)C1=CN=CC=C1
HMDB0000262	CC1=CNC(=O)NC1=O
HMDB0007102	[H][C@](CO)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC
HMDB0001202	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1
HMDB0000407	CC(C)C(O)C(O)=O
HMDB0005357	[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC
HMDB0000292	O=C1NC2=C(NC=N2)C(=O)N1
HMDB0042466	[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCC\C=C/CCCCCCCC
HMDB0015070	CC1=CC(=C(O)C(C)=C1CC1=NCCN1)C(C)(C)C
HMDB0005456	[H][C@](COC(=O)CCCCCCC\C=C/CCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC
HMDB0006729	CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C
HMDB0000562	CN1CC(=O)NC1=N
HMDB0001547	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CCC4=CC(=O)CC[C@]4(C)[C@@]3([H])[C@@]([H])(O)C[C@]12C)C(=O)CO
HMDB0000908	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C
HMDB0000252	CCCCCCCCCCCCC\C=C\C(O)C(N)CO
HMDB0001518	CC1=C(O)C(C)=C2CCC(C)(CCC(O)=O)OC2=C1C
HMDB0002392	[H][C@@]12CC(C)(C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)C[C@@H](O)[C@H](O)C(C)(C)[C@]3([H])CC[C@@]12C)C(O)=O
HMDB0011526	[H][C@@](O)(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP(O)(=O)OCCN
HMDB0002259	CCCCCCCCCCCCCCCCC(O)=O
HMDB0000670	N[C@@H](CCCCNC(N)=N)C(O)=O
HMDB0001889	CN1C2=C(NC=N2)C(=O)N(C)C1=O
HMDB0042226	[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCC
HMDB0007132	[H][C@](CO)(COC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC
HMDB0010395	CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@](O)([H])COP([O-])(=O)OCC[N+](C)(C)C
HMDB0060994	COCC(O)C1=CC=C(OCC(O)CNC(C)C)C=C1
HMDB0007873	CCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCCCC
HMDB0000158	N[C@@H](CC1=CC=C(O)C=C1)C(O)=O
HMDB0001186	CC(=O)NCCCNCCCCNCCCN
HMDB0011504	[H][C@@](O)(COC(=O)CCCCCCC\C=C/CCCCCC)COP(O)(=O)OCCN
HMDB0002121	CC(C)C1=CC2=C(C(O)=C1O)[C@@]13CCCC(C)(C)[C@@H]1C[C@@H]2OC3=O
HMDB0004400	CN1C(=O)NC(N)=C(NC(C)=O)C1=O
HMDB0005384	[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC
HMDB0004704	CCCCC\C=C/CC(O)C(O)CCCCCCCC(O)=O
HMDB0002231	CCCCCCCC\C=C/CCCCCCCCCC(O)=O
HMDB0042061	[H]C(COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC
HMDB0000792	OC(=O)CCCCCCCCC(O)=O
HMDB0011517	[H][C@@](O)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP(O)(=O)OCCN
HMDB0013325	CCCCC\C=C/C=C/C(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C
HMDB0011565	[H][C@](O)(CO)COC(=O)CCCCCCC\C=C/CCCCCC
HMDB0011220	CCCCCCCCCCCCCC\C=C/OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC
HMDB0015052	CC1=NC=C(N1CCO)[N+]([O-])=O
HMDB0000866	CC(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O
HMDB0013326	CCCCCCCC\C=C/CCCCCC(O)CC(=O)O[C@@H](CC([O-])=O)C[N+](C)(C)C
HMDB0007218	[H][C@](CO)(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC
HMDB0007973	CCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC
HMDB0035665	OC(=O)C1CC2=C(CN1)NC1=CC=CC=C21
HMDB0000174	C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O
HMDB0002068	CCCCCCCC\C=C/CCCCCCCCCCCC(O)=O
HMDB0001847	CN1C=NC2=C1C(=O)N(C)C(=O)N2C
HMDB0000786	O=C1NC(=O)C2=CNNC2=N1
HMDB0005015	NCC1(CC(O)=O)CCCCC1
HMDB0000687	CC(C)C[C@H](N)C(O)=O
HMDB0000881	OC(=O)C1=NC2=C(O)C=CC=C2C(O)=C1
HMDB0000673	CCCCC\C=C/C\C=C/CCCCCCCC(O)=O
HMDB0029432	CS(=O)CC(N)C(O)=O
HMDB0000156	O[C@@H](CC(O)=O)C(O)=O
HMDB0005370	[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCCCC
HMDB0002322	NCCCCCN
HMDB0000194	CN1C=NC=C1C[C@H](NC(=O)CCN)C(O)=O
HMDB0033585	CC1=CC(=O)NS(=O)(=O)O1
HMDB0001563	CN1C(N)=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=O
HMDB0007103	[H][C@](CO)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC
HMDB0011718	OC1=CC=C(C=O)C=C1
HMDB0000190	C[C@H](O)C(O)=O
HMDB0006736	CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CCC3C4CCC([C@H](C)CCCC(C)C)[C@@]4(C)CCC23)C1
HMDB0000691	OC(=O)CC(O)=O
HMDB0000766	C[C@H](NC(C)=O)C(O)=O
HMDB0006725	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCCCCCCCC)[C@H](C)CCCC(C)C
HMDB0000631	[H][C@]12CCC3C4CC[C@H]([C@H](C)CCC(=O)NCC(O)=O)[C@@]4(C)[C@@H](O)CC3[C@@]1(C)CC[C@@H](O)C2
HMDB0000725	O[C@H]1CN[C@@H](C1)C(O)=O
HMDB0002203	CCCCCCCC(O)CC(O)=O
HMDB0011503	[H][C@@](O)(COC(=O)CCCCCCCCCCCCCCC)COP(O)(=O)OCCN
HMDB0000658	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCC\C=C/CCCCCC)[C@H](C)CCCC(C)C
HMDB0007011	[H][C@](CO)(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC
HMDB0005363	[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCC
HMDB0000168	N[C@@H](CC(N)=O)C(O)=O
HMDB0005032	OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
HMDB0008138	CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC
HMDB0000711	CCCCCCC(O)C(O)=O
HMDB0002261	CCCCCCCCCCCCC(O)C(O)=O
HMDB0000957	OC1=CC=CC=C1O
HMDB0012101	CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCC\C=C/CCCCCCCC
HMDB0000365	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2C[C@@H](O)CC[C@]12C
HMDB0000637	[H][C@@]12C[C@H](O)CC[C@]1(C)C1CC[C@]3(C)[C@H](CCC3C1[C@H](O)C2)[C@H](C)CCC(=O)NCC(O)=O
HMDB0000118	COC1=CC(CC(O)=O)=CC=C1O
HMDB0000054	CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1
HMDB0007128	[H][C@](CO)(COC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCC\C=C/CCCCCC
HMDB0000482	CCCCCCCC(O)=O
HMDB0007219	[H][C@](CO)(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC
HMDB0007099	[H][C@](CO)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCC
HMDB0000162	OC(=O)[C@@H]1CCCN1
HMDB0000089	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
HMDB0000518	[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O
HMDB0000187	N[C@@H](CO)C(O)=O
HMDB0003431	N[C@H](CO)CC1=CN=CN1
HMDB0000195	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1NC=NC2=O
HMDB0003357	CC(=O)N[C@@H](CCCN)C(O)=O
HMDB0013716	CCC[C@@H](N)C(O)=O
HMDB0000244	CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1
HMDB0000630	NC1=CC=NC(=O)N1
HMDB0000122	OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
HMDB0011310	CCCCCCCC\C=C/CCCCCC\C=C/OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC
HMDB0000017	CC1=NC=C(CO)C(C(O)=O)=C1O
HMDB0000197	OC(=O)CC1=CNC2=C1C=CC=C2
HMDB0004030	[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)C[C@@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
HMDB0000161	C[C@H](N)C(O)=O
HMDB0005385	[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC
HMDB0004620	CC(=O)N[C@@H](CCCNC(N)=N)C(O)=O
HMDB0000827	CCCCCCCCCCCCCCCCCC(O)=O
HMDB0006460	CCCCCCCCCCCCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C
HMDB0003229	CCCCCC\C=C/CCCCCCCC(O)=O
HMDB0000036	[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O
HMDB0002320	OC(CN1C=CN=C1)C(O)=O
HMDB0011520	[H][C@@](O)(COC(=O)CCCCCCCCCCCCCCCCCCCCC)COP(O)(=O)OCCN
HMDB0000191	N[C@@H](CC(O)=O)C(O)=O
HMDB0002364	CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(O)=O
HMDB0007248	[H][C@](CO)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC
HMDB0002820	CN1C=NC(CC(O)=O)=C1
HMDB0001185	C[S+](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N
HMDB0013622	CCCCCCCC\C=C/CCCCCCCCC(O)=O
HMDB0006023	CO[C@@H]1[C@@H](CO)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2N
HMDB0012252	CCCCC\C=C/C\C=C/CCCCCCCC(=O)NCCO
HMDB0000951	[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O
HMDB0000623	OC(=O)CCCCCCCCCCC(O)=O
HMDB0010397	CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@](O)([H])COP([O-])(=O)OCC[N+](C)(C)C
HMDB0013288	CCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C
HMDB0000641	N[C@@H](CCC(N)=O)C(O)=O
HMDB0000300	O=C1NC=CC(=O)N1
HMDB0013222	NC(=N)NCCC(O)=O
HMDB0007869	[H][C@@](COC(=O)CCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC
HMDB0005436	[H][C@](COC(=O)CCCCCCC\C=C/CCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/CCCCCC
HMDB0008925	[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCCCCCCCCC
HMDB0004827	C[N+]1(C)CCC[C@H]1C([O-])=O
HMDB0004705	CCCCCC(O)C(O)C\C=C/CCCCCCCC(O)=O
HMDB0000896	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O
HMDB0000206	CC(=O)NCCCC[C@H](N)C(O)=O
HMDB0000510	NC(CCCC(O)=O)C(O)=O
HMDB0000098	O[C@@H]1COC(O)[C@H](O)[C@H]1O
HMDB0000722	C[C@H](CCC(=O)NCCS(O)(=O)=O)C1CCC2C3CCC4C[C@H](O)CC[C@]4(C)C3CC[C@]12C
HMDB0047888	[H][C@](COC(=O)CCCCCCC\C=C/CCCC)(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCC\C=C/CCCC
HMDB0010517	[H][C@@](COC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCC
HMDB0005391	[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC
HMDB0000826	CCCCCCCCCCCCCCC(O)=O
HMDB0000247	OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
HMDB0000806	CCCCCCCCCCCCCC(O)=O
HMDB0006455	CCCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC(CC(O)=O)C[N+](C)(C)C
HMDB0000220	CCCCCCCCCCCCCCCC(O)=O
HMDB0001954	CCCCCC(O)CC(O)=O
HMDB0060920	CC(C(O)=O)C1=CC=C(CC(C)(C)O)C=C1
HMDB0000317	CC[C@@H](C)[C@@H](O)C(O)=O
HMDB0011701	[H][C@](COC(=O)CCCCCCCCCCCCCC)(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCC
HMDB0005380	[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/CCCCCC
HMDB0000626	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O
HMDB0000034	NC1=C2NC=NC2=NC=N1
HMDB0001149	NCC(=O)CCC(O)=O
HMDB0005362	[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCC
HMDB0002329	OC(=O)C(O)=O
HMDB0000259	NCCC1=CNC2=CC=C(O)C=C12
HMDB0000134	OC(=O)\C=C\C(O)=O
HMDB0000172	CC[C@H](C)[C@H](N)C(O)=O
HMDB0001370	N[C@@H](CCC[C@H](N)C(O)=O)C(O)=O
HMDB0000237	CCC(O)=O
HMDB0000062	C[N+](C)(C)C[C@H](O)CC([O-])=O
HMDB0000716	OC(=O)[C@@H]1CCCCN1
HMDB0000703	O[C@H](C(O)=O)C1=CC=CC=C1
HMDB0000123	NCC(O)=O
HMDB0000929	N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O
HMDB0001925	CC(C)CC1=CC=C(C=C1)C(C)C(O)=O
HMDB0001169	NC1=CC=C(O)C=C1
HMDB0000761	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O
HMDB0000874	[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCCS(O)(=O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@H](O)CC2C[C@H](O)CC[C@]12C
HMDB0000138	[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])[C@H](O)CC2C[C@H](O)CC[C@]12C
HMDB0000802	NC1=NC2=NC=CN=C2C(=O)N1
HMDB0004824	CN(C)C1=NC(=O)C2=C(N1)N(C=N2)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
HMDB0000167	C[C@@H](O)[C@H](N)C(O)=O
HMDB0000682	OS(=O)(=O)OC1=CNC2=CC=CC=C12
HMDB0000529	CCCCCC\C=C/CCCC(O)=O
HMDB0013733	CC1=CC(C)=C(C)C=C1
HMDB0000801	CC(C)CCCC(C)CCCC(C)CCCC(C)CC(O)=O
HMDB0031106	CCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCC
HMDB0000638	CCCCCCCCCCCC(O)=O
HMDB0001008	CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(N1)\C=C1/N=C(/C=C2\NC(=O)C(C=C)=C2C)C(C)=C1CCC(O)=O
HMDB0000148	N[C@@H](CCC(O)=O)C(O)=O
HMDB0003339	N[C@H](CCC(O)=O)C(O)=O
HMDB0000517	N[C@@H](CCCNC(N)=N)C(O)=O
HMDB0030180	[H][C@@]1(CC[C@@]2(O)C3=CC(=O)[C@]4([H])C[C@@H](O)[C@@H](O)C[C@]4(C)[C@@]3([H])CC[C@]12C)[C@@](C)(O)[C@H](O)CCC(C)(C)O
HMDB0002000	CCCC\C=C/CCCCCCCC(O)=O
HMDB0008923	[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCCCCCCC
HMDB0000904	N[C@@H](CCCNC(N)=O)C(O)=O
HMDB0042093	[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCC
HMDB0010386	CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@@]([H])(O)COP([O-])(=O)OCC[N+](C)(C)C
HMDB0000056	NCCC(O)=O
HMDB0000679	N[C@@H](CCCCNC(N)=O)C(O)=O
HMDB0003464	NC(N)=NCCCC(O)=O
HMDB0059655	OC(CCC(O)=O)C(O)=O
HMDB0001388	CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O
HMDB0000157	OC1=NC=NC2=C1NC=N2
HMDB0000126	OC[C@@H](O)COP(O)(O)=O
HMDB0000192	N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O
HMDB0000288	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O
HMDB0004326	COC1C(O)C(CO)OC1N1C=NC2=C(N)N=CN=C12
HMDB0002212	CCCCCCCCCCCCCCCCCCCC(O)=O
HMDB0000522	C\C(CC(O)=O)=C/C(O)=O
HMDB0000772	CCCCCCCCCCCCCCCCCCC(O)=O
HMDB0014420	CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O
HMDB0006029	CC(=O)NC(CCC(N)=O)C(O)=O
HMDB0032055	CC(=O)NC(CC1=CNC=N1)C(O)=O
HMDB0000696	CSCC[C@H](N)C(O)=O
HMDB0000039	CCCC(O)=O
HMDB0007983	[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC
HMDB0006344	NC(=O)CC[C@H](NC(=O)CC1=CC=CC=C1)C(O)=O
HMDB0000133	NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1
HMDB0000239	CC1=C(O)C(CO)=C(CO)C=N1
HMDB0029377	O=C(\C=C\C=C\C1=CC2=C(OCO2)C=C1)N1CCCCC1
HMDB0000791	CCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C
HMDB0003333	NC1=NC2=C(N=C(O)N2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1
HMDB0000715	OC(=O)C1=CC(=O)C2=CC=CC=C2N1
HMDB0000044	[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
HMDB0000207	CCCCCCCC\C=C/CCCCCCCC(O)=O
HMDB0000714	OC(=O)CNC(=O)C1=CC=CC=C1
HMDB0000014	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1
HMDB0060038	CCCCCC\C=C/CCCCCCCCC(O)=O
HMDB0000019	CC(C)C(=O)C(O)=O
HMDB0000124	OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O
HMDB0000708	[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCC(O)=O
HMDB0000767	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)C1=CNC(=O)NC1=O
HMDB0094696	CN1CCC[C@H]1C(O)=O
HMDB0000269	CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO
HMDB0001406	NC(=O)C1=CC=CN=C1
HMDB0002005	CS(=O)CCC(N)C(O)=O
HMDB0000254	OC(=O)CCC(O)=O
HMDB0000733	[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](O)C2C[C@H](O)CC[C@]12C
HMDB0000511	CCCCCCCCCC(O)=O
HMDB0000557	CC[C@@H](C)[C@H](N)C(O)=O
HMDB0000355	CC(O)(CC(O)=O)CC(O)=O
HMDB0000895	CC(=O)OCC[N+](C)(C)C
HMDB0011212	CCCCCCCCCCCCCC\C=C/OC[C@@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC
HMDB0000210	CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O
HMDB0000101	NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](CO)O1
HMDB0003282	CN1C(N)=NC2=C(NC=N2)C1=O
